collected_at,hostname,os,agent_version,cpu_percent,memory_percent,logged_in_user,src_ip,dst_ip,src_port,dst_port,protocol,application_protocol,in_bytes,out_bytes,in_packets,out_packets,total_bytes,total_packets,flow_duration_ms,bytes_per_packet,packets_per_second,bytes_per_second,direction_byte_ratio,direction_packet_ratio,packet_asymmetry,byte_asymmetry,tcp_flags,client_tcp_flags,server_tcp_flags,min_ttl,max_ttl,min_ip_pkt_len,max_ip_pkt_len,longest_flow_pkt,shortest_flow_pkt,num_pkts_up_to_128_bytes,num_pkts_128_to_256_bytes,num_pkts_256_to_512_bytes,num_pkts_512_to_1024_bytes,num_pkts_1024_to_1514_bytes,retransmitted_in_bytes,retransmitted_in_pkts,retransmitted_out_bytes,retransmitted_out_pkts,duration_in,duration_out,src_to_dst_avg_throughput,dst_to_src_avg_throughput,src_to_dst_second_bytes,dst_to_src_second_bytes,tcp_win_max_in,tcp_win_max_out,dns_query_id,dns_query_type,dns_ttl_answer,ftp_command_ret_code,icmp_type,icmp_ipv4_type,simulated_attack_type,is_simulated_attack,data_source
2026-08-11T20:25:17+00:00,WIN-SRV-APP01,Windows 10,vcoda-collector-0.1.0-sim,30.0,41.4,admin,192.168.1.91,192.168.1.36,33048,443,6,8,227556,119211,172,237,346767,409,52750.06,847.84,7.75,6573.77,1.9089,0.7257,65,108345,16,16,18,46,79,52,1036,740,97,31,98,80,58,43,0,0,0,0,28364.19,34353.95,2259.92,4313.85,119211,227556,13126,38415,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T21:08:56+00:00,WIN-LAPTOP-FIN,Windows 10,vcoda-collector-0.1.0-sim,19.9,54.1,root,192.168.1.99,136.92.244.23,37433,80,1,14,360633,72150,273,130,432783,403,25173.63,1073.9,16.01,17191.92,4.9984,2.1,143,288483,16,16,0,102,115,43,523,1440,71,204,46,43,46,28,0,0,0,0,14281.82,11345.6,2866.09,14325.82,72150,360633,11564,52020,0,0,0,0,8,0,benign,False,SIMULATED
2026-08-11T09:57:27+00:00,WIN-DESKTOP01,Windows Server 2022,vcoda-collector-0.1.0-sim,33.6,57.9,www-data,192.168.1.67,34.227.23.191,10031,443,6,19,48026,43857,59,33,91883,92,24418.64,998.73,3.77,3762.82,1.0951,1.7879,26,4169,25,25,18,116,92,61,929,633,65,33,0,4,8,4,0,0,0,0,16689.73,7720.19,1796.05,1966.78,43857,48026,65118,14148,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T01:39:41+00:00,WIN-SRV-DB01,Windows 10,vcoda-collector-0.1.0-sim,23.1,44.2,www-data,192.168.1.109,176.10.45.126,61398,443,17,15,18040,25916,88,22,43956,110,9514.31,399.6,11.56,4619.99,0.6961,4.0,66,7876,24,24,16,126,38,50,1468,788,58,87,5,13,5,2,0,0,0,0,3213.12,6155.01,2723.9,1896.09,25916,18040,63236,9248,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T10:30:38+00:00,lnx-gateway,Ubuntu 22.04,vcoda-collector-0.1.0-sim,-6.4,43.2,root,192.168.1.117,192.168.1.49,61882,53,6,17,61845,130020,93,165,191865,258,53955.51,743.66,4.78,3555.99,0.4757,0.5636,72,68175,27,27,16,58,66,51,891,614,45,187,4,36,33,23,0,0,0,0,36272.88,29399.73,2409.76,1146.22,130020,61845,29800,6621,2305,1,592,0,0,0,benign,False,SIMULATED
2026-08-11T03:41:11+00:00,WIN-DESKTOP02,Windows Server 2022,vcoda-collector-0.1.0-sim,36.3,51.8,j.perera,192.168.1.100,173.184.177.118,3646,8080,17,10,19092,91656,74,171,110748,245,3987.04,452.03,61.45,27776.98,0.2083,0.4327,97,72564,16,16,16,92,108,52,1007,1300,91,151,39,52,24,28,0,0,0,0,1750.95,1340.57,22988.47,4788.51,91656,19092,31469,15598,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T16:08:54+00:00,WIN-SRV-APP01,Windows Server 2022,vcoda-collector-0.1.0-sim,35.9,59.2,root,192.168.1.103,192.168.1.51,40791,443,6,18,97317,17287,99,59,114604,158,26198.63,725.34,6.03,4374.43,5.6295,1.678,40,80030,16,16,18,50,110,46,1088,997,71,82,1,19,24,8,0,0,0,0,18284.71,12955.54,659.84,3714.58,17287,97317,34092,31856,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T17:12:45+00:00,WIN-WORKSTN-HR,Windows 11,vcoda-collector-0.1.0-sim,61.1,46.4,svc_app,192.168.1.90,97.119.161.200,64334,39182,6,14,59,324120,1,2920,324179,2921,977.34,110.98,2988.71,331693.76,0.0002,0.0003,2919,324061,2,2,18,118,73,67,1137,693,91,2251,460,220,168,158,132,2,134,2,438.21,459.38,331633.39,60.37,324120,59,62992,41607,0,0,0,0,0,0,port_scan,True,SIMULATED
2026-08-11T17:34:43+00:00,WIN-SRV-DB01,Windows 11,vcoda-collector-0.1.0-sim,53.2,26.1,j.perera,192.168.1.91,93.50.220.205,14925,443,6,16,77112,56637,119,63,133749,182,44886.73,734.88,4.05,2979.7,1.3615,1.8889,56,20475,25,25,0,59,50,63,791,828,71,34,39,32,22,3,0,0,0,0,16611.33,19888.1,1261.78,1717.92,56637,77112,46707,51831,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T02:36:58+00:00,WIN-LAPTOP-FIN,Windows 10,vcoda-collector-0.1.0-sim,13.8,39.5,root,192.168.1.40,122.35.77.141,9234,53,6,5,33936,17600,48,25,51536,73,46976.23,705.97,1.55,1097.07,1.9282,1.92,23,16336,25,25,0,64,66,50,676,731,68,25,7,12,2,8,0,0,0,0,19990.2,19219.0,374.66,722.41,17600,33936,49522,24602,8577,1,1596,0,0,0,benign,False,SIMULATED
2026-08-11T23:58:18+00:00,WIN-WORKSTN-HR,Windows 10,vcoda-collector-0.1.0-sim,25.7,41.6,a.silva,192.168.1.109,192.168.1.35,41565,80,17,9,240560,9845,194,11,250405,205,36888.29,1221.49,5.56,6788.2,24.4347,17.6364,183,230715,25,25,18,39,100,40,1080,977,68,101,25,20,15,14,0,0,0,0,19213.82,23410.97,266.89,6521.31,9845,240560,64858,8033,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T06:26:02+00:00,WIN-DESKTOP02,Windows Server 2022,vcoda-collector-0.1.0-sim,6.6,36.0,admin,192.168.1.17,192.168.1.103,11366,993,17,5,66057,44646,97,42,110703,139,36456.7,796.42,3.81,3036.56,1.4796,2.3095,55,21411,27,27,0,48,53,51,1246,557,77,132,26,13,1,14,0,0,0,0,20872.62,13735.74,1224.63,1811.93,44646,66057,48753,12343,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T23:08:54+00:00,lnx-dev-box,Ubuntu 24.04,vcoda-collector-0.1.0-sim,9.0,48.4,root,192.168.1.111,109.167.185.107,28135,123,6,15,39294,149184,74,288,188478,362,16022.94,520.66,22.59,11763.01,0.2634,0.2569,214,109890,24,24,16,106,87,62,1237,1335,90,77,60,0,34,25,0,0,0,0,11178.1,5054.56,9310.65,2452.36,149184,39294,14496,14442,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T09:50:28+00:00,WIN-SRV-DB01,Windows Server 2022,vcoda-collector-0.1.0-sim,25.9,37.1,svc_app,192.168.1.94,18.119.202.49,16285,443,6,19,26040,44880,60,55,70920,115,28869.14,616.7,3.98,2456.6,0.5802,1.0909,5,18840,25,25,0,71,94,64,743,1423,44,28,27,20,1,10,0,0,0,0,9789.96,14067.72,1554.6,902.0,44880,26040,9475,13962,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T06:06:48+00:00,WIN-LAPTOP-FIN,Windows 10,vcoda-collector-0.1.0-sim,34.4,91.7,a.silva,192.168.1.36,192.168.1.41,42078,123,17,16,43824,39676,83,182,83500,265,8275.28,315.09,32.02,10090.3,1.1045,0.456,99,4148,27,27,16,70,56,42,585,661,87,170,28,51,7,6,0,0,0,0,5519.26,5299.48,4794.52,5295.77,39676,43824,17033,55753,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T22:31:27+00:00,WIN-SRV-APP01,Windows 11,vcoda-collector-0.1.0-sim,28.1,44.9,www-data,192.168.1.104,208.241.22.65,39894,53,6,14,47754,10920,42,40,58674,82,43756.82,715.54,1.87,1340.91,4.3731,1.05,2,36834,24,24,0,110,47,84,1120,787,65,9,19,4,4,5,0,0,0,0,21970.77,23324.91,249.56,1091.35,10920,47754,56354,26512,54533,5,3460,0,0,0,benign,False,SIMULATED
2026-08-11T09:24:52+00:00,WIN-WORKSTN-HR,Windows Server 2022,vcoda-collector-0.1.0-sim,26.8,75.0,a.silva,192.168.1.91,82.231.126.178,34769,53,6,1,28842,295776,138,288,324618,426,55088.03,762.01,7.73,5892.71,0.0975,0.4792,150,266934,27,27,18,53,41,75,912,1115,92,41,30,54,55,31,0,0,0,0,38120.44,35995.17,5369.15,523.56,295776,28842,25717,51339,19747,1,2779,0,0,0,benign,False,SIMULATED
2026-08-11T11:53:40+00:00,WIN-DESKTOP02,Windows 10,vcoda-collector-0.1.0-sim,21.5,51.7,www-data,192.168.1.42,192.168.1.82,60236,443,6,7,188340,86229,215,99,274569,314,3501.56,874.42,89.67,78413.44,2.1842,2.1717,116,102111,16,16,16,122,115,43,859,1249,72,81,40,67,11,29,0,0,0,0,2291.0,1352.9,24625.91,53787.53,86229,188340,36353,35298,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T12:45:31+00:00,lnx-gateway,Ubuntu 22.04,vcoda-collector-0.1.0-sim,31.1,63.4,svc_app,192.168.1.97,111.113.42.97,7986,53,1,17,209664,148542,192,114,358206,306,28672.8,1170.61,10.67,12492.88,1.4115,1.6842,78,61122,24,24,18,109,37,60,1471,1078,47,43,19,73,8,34,0,0,0,0,19175.19,12411.46,5180.59,7312.3,148542,209664,54432,11935,19068,1,505,0,0,0,benign,False,SIMULATED
2026-08-11T10:33:35+00:00,WIN-DESKTOP01,Windows 11,vcoda-collector-0.1.0-sim,10.7,40.3,admin,192.168.1.118,175.164.102.209,9574,80,17,14,7320,210865,30,233,218185,263,52954.07,829.6,4.97,4120.27,0.0347,0.1288,203,203545,24,24,16,48,76,44,669,920,87,206,16,27,6,24,0,0,0,0,33722.64,22880.42,3982.04,138.23,210865,7320,16916,62497,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T13:39:07+00:00,lnx-gateway,Rocky Linux 9,vcoda-collector-0.1.0-sim,62.5,73.6,a.silva,192.168.1.18,192.168.1.32,42987,23,6,12,204,3068,4,26,3272,30,615.18,109.07,48.77,5318.8,0.0665,0.1538,22,2864,2,2,0,91,120,48,827,1193,77,20,3,4,3,0,150,1,10,1,205.89,239.27,4987.19,331.61,3068,204,22355,29470,0,0,0,0,0,0,brute_force,True,SIMULATED
2026-08-11T22:16:16+00:00,lnx-gateway,Ubuntu 22.04,vcoda-collector-0.1.0-sim,14.5,69.9,svc_app,192.168.1.102,40.187.8.52,35892,80,17,1,143336,29754,152,29,173090,181,29610.39,956.3,6.11,5845.58,4.8174,5.2414,123,113582,24,24,16,81,96,68,1014,1421,60,89,25,21,29,21,0,0,0,0,14219.82,11025.54,1004.85,4840.73,29754,143336,28504,15017,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T22:35:08+00:00,WIN-SRV-APP01,Windows 11,vcoda-collector-0.1.0-sim,33.3,43.4,j.perera,192.168.1.81,192.168.1.57,14925,443,6,8,66605,58692,173,292,125297,465,10208.43,269.46,45.55,12273.88,1.1348,0.5925,119,7913,24,24,0,104,46,53,749,1405,96,233,18,87,37,49,0,0,0,0,7141.12,3976.98,5749.37,6524.51,58692,66605,47829,19531,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T22:23:25+00:00,WIN-SRV-DB01,Windows 11,vcoda-collector-0.1.0-sim,17.4,58.1,www-data,192.168.1.80,192.168.1.74,23015,80,1,8,237583,129766,193,217,367349,410,12390.87,895.97,33.09,29646.76,1.8309,0.8894,24,107817,24,24,0,126,75,99,1419,1406,74,328,97,27,2,16,0,0,0,0,6429.78,6496.67,10472.71,19174.04,129766,237583,12274,33634,0,0,0,0,8,8,benign,False,SIMULATED
2026-08-11T05:28:07+00:00,WIN-SRV-DB01,Windows Server 2022,vcoda-collector-0.1.0-sim,23.4,57.9,svc_app,192.168.1.98,221.148.113.89,35370,443,6,3,187425,39825,255,295,227250,550,45608.6,413.18,12.06,4982.61,4.7062,0.8644,40,147600,24,24,0,94,117,56,1187,564,40,30,126,79,73,1,0,0,0,0,29167.47,16517.56,873.19,4109.42,39825,187425,34501,40154,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T13:11:16+00:00,WIN-SRV-DB01,Windows 10,vcoda-collector-0.1.0-sim,21.3,38.8,j.perera,192.168.1.52,192.168.1.17,36386,443,17,11,73188,91980,57,180,165168,237,9172.37,696.91,25.84,18007.13,0.7957,0.3167,123,18792,16,16,18,123,115,69,1059,800,95,113,45,21,28,6,0,0,0,0,2920.35,4043.96,10027.95,7979.18,91980,73188,32120,46917,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T11:24:01+00:00,WIN-DESKTOP02,Windows 10,vcoda-collector-0.1.0-sim,24.8,39.3,admin,192.168.1.69,188.208.244.27,15319,123,17,9,69122,21924,214,18,91046,232,36283.68,392.44,6.39,2509.28,3.1528,11.8889,196,47198,16,16,0,71,39,50,639,1324,74,215,25,11,23,26,0,0,0,0,11144.33,24309.52,604.24,1905.04,21924,69122,34463,62433,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T11:32:38+00:00,WIN-WORKSTN-HR,Windows Server 2022,vcoda-collector-0.1.0-sim,67.3,43.2,a.silva,192.168.1.88,192.168.1.116,6065,1433,1,13,42,456392,1,5128,456434,5129,1248.74,88.99,4107.35,365516.62,0.0001,0.0002,5127,456350,2,2,18,100,39,82,1229,683,90,2687,605,926,435,349,62,2,193,0,558.93,461.94,365482.99,33.63,456392,42,48318,25344,0,0,0,0,0,8,syn_flood,True,SIMULATED
2026-08-11T02:16:50+00:00,lnx-db-primary,Debian 12,vcoda-collector-0.1.0-sim,1.8,42.3,root,192.168.1.90,165.97.32.186,56475,993,6,9,214052,67564,236,76,281616,312,55614.9,902.62,5.61,5063.68,3.1681,3.1053,160,146488,16,16,0,96,96,91,839,810,44,129,37,58,39,5,0,0,0,0,24137.91,35497.86,1214.85,3848.83,67564,214052,19417,48199,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T03:39:52+00:00,lnx-monitoring,Ubuntu 22.04,vcoda-collector-0.1.0-sim,60.8,51.6,a.silva,192.168.1.59,192.168.1.37,45502,3306,6,2,90,3660,2,60,3750,62,1390.69,60.48,44.58,2696.5,0.0246,0.0333,58,3570,2,2,0,74,98,64,1041,1021,56,17,6,0,6,4,61,1,65,1,477.66,424.87,2631.78,64.72,3660,90,30199,17041,0,0,0,0,0,0,beaconing,True,SIMULATED
2026-08-11T08:16:33+00:00,WIN-DESKTOP02,Windows 10,vcoda-collector-0.1.0-sim,32.7,56.2,j.perera,192.168.1.94,215.216.124.166,10373,80,6,0,8998,204943,11,191,213941,202,25392.55,1059.11,7.96,8425.34,0.0439,0.0576,180,195945,16,16,18,89,55,85,1403,784,86,159,25,31,8,23,0,0,0,0,17581.85,8047.88,8070.99,354.36,204943,8998,24664,29727,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T11:30:54+00:00,WIN-SRV-APP01,Windows 11,vcoda-collector-0.1.0-sim,27.9,71.9,www-data,192.168.1.97,192.168.1.46,7662,80,6,5,148764,9984,253,156,158748,409,58687.14,388.14,6.97,2704.99,14.9002,1.6218,97,138780,24,24,18,80,36,45,1047,923,40,381,74,51,67,49,0,0,0,0,23682.27,29450.27,170.12,2534.87,9984,148764,47861,56473,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T00:44:44+00:00,WIN-DESKTOP01,Windows 11,vcoda-collector-0.1.0-sim,22.4,62.9,admin,192.168.1.55,38.204.103.151,15652,8080,6,13,33660,69651,60,213,103311,273,23631.9,378.43,11.55,4371.68,0.4833,0.2817,153,35991,16,16,16,57,80,61,900,848,58,196,31,31,29,12,0,0,0,0,15149.2,12496.08,2947.33,1424.35,69651,33660,18172,14818,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T05:25:53+00:00,lnx-db-primary,Ubuntu 24.04,vcoda-collector-0.1.0-sim,47.8,31.6,admin,192.168.1.91,122.113.114.58,49220,44462,6,13,102,99632,2,958,99734,960,1876.97,103.89,511.46,53135.66,0.001,0.0021,956,99530,2,2,18,78,64,71,662,611,71,793,127,187,28,53,122,1,2,0,761.73,592.79,53081.32,54.34,99632,102,60868,61972,0,0,0,0,0,0,port_scan,True,SIMULATED
2026-08-11T14:30:09+00:00,WIN-DESKTOP01,Windows 10,vcoda-collector-0.1.0-sim,14.2,50.4,svc_app,192.168.1.40,62.124.171.125,19045,443,6,11,176128,60652,128,118,236780,246,19809.85,962.52,12.42,11952.64,2.9039,1.0847,10,115476,16,16,18,65,121,42,1004,1298,71,230,19,2,31,2,0,0,0,0,12632.92,13038.88,3061.71,8890.93,60652,176128,50359,11980,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T16:03:01+00:00,lnx-db-primary,Debian 12,vcoda-collector-0.1.0-sim,21.9,69.0,root,192.168.1.98,82.119.126.12,60970,8080,6,10,33048,42688,136,232,75736,368,39442.53,205.8,9.33,1920.16,0.7742,0.5862,96,9640,16,16,18,65,41,85,775,1478,64,314,3,60,27,21,0,0,0,0,18028.95,18539.61,1082.28,837.88,42688,33048,18133,4138,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T14:36:04+00:00,WIN-WORKSTN-HR,Windows Server 2022,vcoda-collector-0.1.0-sim,33.1,64.0,admin,192.168.1.108,185.136.82.131,22171,443,6,19,92158,58640,142,80,150798,222,9277.74,679.27,23.93,16253.74,1.5716,1.775,62,33518,16,16,0,96,125,40,1284,996,98,128,46,9,5,25,0,0,0,0,3414.13,5819.84,6320.5,9933.23,58640,92158,34986,20592,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T07:04:38+00:00,WIN-SRV-APP01,Windows 11,vcoda-collector-0.1.0-sim,36.8,35.3,j.perera,192.168.1.112,62.124.171.125,37399,443,6,7,43264,208693,104,181,251957,285,4238.13,884.06,67.25,59449.99,0.2073,0.5746,77,165429,24,24,18,57,117,55,685,760,59,34,41,23,33,17,0,0,0,0,1536.39,1448.0,49241.73,10208.27,208693,43264,29580,47570,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T16:23:14+00:00,WIN-WORKSTN-HR,Windows 11,vcoda-collector-0.1.0-sim,24.4,29.8,a.silva,192.168.1.105,56.67.15.36,60526,443,6,11,174345,370791,177,279,545136,456,19020.1,1195.47,23.97,28661.04,0.4702,0.6344,102,196446,16,16,18,114,56,68,1205,1112,44,270,4,13,49,5,0,0,0,0,10692.79,6421.35,19494.69,9166.35,370791,174345,22894,52575,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T08:51:11+00:00,lnx-dev-box,Ubuntu 24.04,vcoda-collector-0.1.0-sim,57.1,20.2,root,192.168.1.106,162.35.244.244,31176,23,6,5,84,388619,2,5047,388703,5049,546.37,76.99,9240.97,711426.64,0.0002,0.0004,5045,388535,2,2,0,92,63,63,744,845,81,2696,1258,974,14,239,57,1,53,2,277.99,362.75,711272.9,153.74,388619,84,59848,52224,0,0,0,0,0,0,syn_flood,True,SIMULATED
2026-08-11T18:02:11+00:00,WIN-SRV-DB01,Windows 10,vcoda-collector-0.1.0-sim,10.2,49.4,www-data,192.168.1.118,192.168.1.86,29648,443,6,12,59670,13039,170,13,72709,183,30559.08,397.32,5.99,2379.29,4.5763,13.0769,157,46631,25,25,16,104,88,90,1024,1369,42,6,4,25,21,4,0,0,0,0,19684.28,17093.5,426.68,1952.61,13039,59670,32529,28132,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T07:00:55+00:00,WIN-WORKSTN-HR,Windows 10,vcoda-collector-0.1.0-sim,11.3,62.1,admin,192.168.1.87,120.11.125.47,46912,993,6,5,100970,12412,230,29,113382,259,58329.8,437.77,4.44,1943.81,8.1349,7.931,201,88558,25,25,18,35,38,83,1116,543,93,1,61,46,42,30,0,0,0,0,35149.61,28503.21,212.79,1731.02,12412,100970,16513,32379,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T18:17:33+00:00,WIN-DESKTOP01,Windows 11,vcoda-collector-0.1.0-sim,64.5,57.1,a.silva,192.168.1.96,217.31.75.129,65213,3389,6,2,220,1400,4,20,1620,24,402.38,67.5,59.65,4026.07,0.1571,0.2,16,1180,2,2,18,111,79,76,1419,1342,41,23,0,0,1,2,16,0,52,1,154.35,152.6,3479.32,546.75,1400,220,64633,9612,0,0,0,0,0,0,beaconing,True,SIMULATED
2026-08-11T15:40:56+00:00,WIN-SRV-APP01,Windows Server 2022,vcoda-collector-0.1.0-sim,33.4,65.1,svc_app,192.168.1.73,176.10.45.126,54359,443,6,10,14916,254384,33,208,269300,241,22300.38,1117.43,10.81,12076.03,0.0586,0.1587,175,239468,24,24,18,123,59,40,1223,501,43,239,51,42,33,2,0,0,0,0,6902.03,7192.22,11407.16,668.87,254384,14916,6760,36120,0,0,0,0,0,0,benign,False,SIMULATED
2026-08-11T06:58:23+00:00,WIN-WORKSTN-HR,Windows 10,vcoda-collector-0.1.0-sim,28.7,55.4,a.silva,192.168.1.70,122.45.118.218,52344,80,6,18,181827,77256,267,296,259083,563,49876.1,460.18,11.29,5194.53,2.3536,0.902,29,104571,16,16,18,105,57,89,918,561,61,197,73,37,42,29,0,0,0,0,21057.3,19967.45,1548.96,3645.57,77256,181827,22112,56817,0,0,0,0,0,0,benign,False,SIMULATED
